Name,Symbol,Date,High,Low,Open,Close,Volume
Ethereum,ETH,04/07/2017,287.388,273.110992,282.19101,273.303009,687691008
Ethereum,ETH,05/07/2017,275.125,261.446991,273.098999,268.773987,790256000
Ethereum,ETH,06/07/2017,278.476013,265.511993,268.858002,270.549011,623080000
Ethereum,ETH,07/07/2017,273.942993,244.173996,270.350006,245.990997,687251968
Ethereum,ETH,08/07/2017,273.47699,236.550995,245.889999,251.697006,754958016
Ethereum,ETH,09/07/2017,255.104996,242.136993,251.822006,242.136993,505118016
Ethereum,ETH,10/07/2017,243.070999,196.964996,243.011002,215.356995,937219008
Ethereum,ETH,11/07/2017,220.291,183.391998,211.524994,197.404007,1440950016
Ethereum,ETH,12/07/2017,230.774002,189.589005,197.151993,230.774002,1241190016
Ethereum,ETH,13/07/2017,231.811996,200.065002,231.811996,209.733002,828489024
Ethereum,ETH,14/07/2017,211.100998,187.373993,209.529007,199.662003,749382016
Ethereum,ETH,15/07/2017,200.160995,170.654999,199.709,170.654999,810451968
Ethereum,ETH,16/07/2017,172.014008,133.723007,169.574005,157.363007,1516889984
Ethereum,ETH,17/07/2017,194.753006,158.044006,159.990997,193.423996,1669500032
Ethereum,ETH,18/07/2017,267.985992,182.059006,195.026993,234.391006,2709260032
Ethereum,ETH,19/07/2017,245.651001,191.744995,234.940994,199.703003,2328790016
Ethereum,ETH,20/07/2017,233.904007,203.216003,205.421997,227.264999,2224999936
Ethereum,ETH,21/07/2017,235.117996,213.009995,226.061005,218.304993,1006129984
Ethereum,ETH,22/07/2017,232.695999,216.867996,217.860001,229.475998,618259968
Ethereum,ETH,23/07/2017,231.679993,217.722,229.123001,225.951004,649614976
Ethereum,ETH,24/07/2017,227.537994,222.453003,226.285004,224.710999,431691008
Ethereum,ETH,25/07/2017,225.324005,195.845001,224.373001,206.710007,1095760000
Ethereum,ETH,26/07/2017,210.766998,194.783997,207.085999,203.953003,717692032
Ethereum,ETH,27/07/2017,206.444,201.259995,204.856003,204.317993,393283008
Ethereum,ETH,28/07/2017,204.897003,192.304001,204.324997,193.123001,562571008
Ethereum,ETH,29/07/2017,208.679001,179.647003,193.341003,205.789001,824355008
Ethereum,ETH,30/07/2017,208.541,196.149002,206.735992,197.977997,596233984
Ethereum,ETH,31/07/2017,203.871002,193.410995,197.404999,203.871002,569414016
Ethereum,ETH,01/08/2017,227.744003,204.688004,204.688004,226.768997,1585330048
Ethereum,ETH,02/08/2017,229.511993,218.117996,227.005997,219.951996,632606016
Ethereum,ETH,03/08/2017,228.292007,219.888,220.179993,225.341995,557217024
Ethereum,ETH,04/08/2017,227.621002,222.057007,225.307999,223.072998,539782976
Ethereum,ETH,05/08/2017,256.506989,221.951996,222.852005,256.506989,1332999936
Ethereum,ETH,06/08/2017,271.049011,252.852005,256.419006,261.566986,1482979968
Ethereum,ETH,07/08/2017,271.963013,256.688995,261.237,269.179993,935726976
Ethereum,ETH,08/08/2017,298.907013,266.79599,269.100006,296.769012,1502409984
Ethereum,ETH,09/08/2017,318.716003,276.690002,297.631989,296.027008,2638579968
Ethereum,ETH,10/08/2017,306.592987,289.925995,296.960999,295.891998,1076819968
Ethereum,ETH,11/08/2017,309.209015,294.494995,294.494995,308.864014,953576000
Ethereum,ETH,12/08/2017,317.559998,307.895996,308.709991,310.601013,1111650048
Ethereum,ETH,13/08/2017,310.81601,289.313995,310.365997,298.063995,1369369984
Ethereum,ETH,14/08/2017,306.807007,296.411987,298.031006,300.096985,864390976
Ethereum,ETH,15/08/2017,300.408997,279.326996,299.951996,289.817993,1051800000
Ethereum,ETH,16/08/2017,303.412994,285.38501,289.819,302.266998,967643008
Ethereum,ETH,17/08/2017,311.028015,300.25,302.804993,301.457001,909494016
Ethereum,ETH,18/08/2017,307.959991,292.498993,301.696991,295.589996,936160000
Ethereum,ETH,19/08/2017,301.666992,286.183014,296.181,297.470001,860201984
Ethereum,ETH,20/08/2017,301.428009,291.579987,296.644012,301.428009,571947008
Ethereum,ETH,21/08/2017,347.049011,297.234009,300.476013,321.591003,2448969984
Ethereum,ETH,22/08/2017,327.360992,297.912994,321.054993,314.785004,1336400000
Ethereum,ETH,23/08/2017,324.209991,314.539001,315.265991,317.519012,811990016
Ethereum,ETH,24/08/2017,327.959991,317.080994,317.447998,325.610992,697665024
Ethereum,ETH,25/08/2017,336.39801,325.79599,326.109009,331.915009,760329024
Ethereum,ETH,26/08/2017,334.984985,327.919006,331.98999,333.881989,514180992
Ethereum,ETH,27/08/2017,347.893005,334.356995,334.356995,347.893005,633369984
Ethereum,ETH,28/08/2017,352.053986,338.407013,350.042999,347.747009,854318976
Ethereum,ETH,29/08/2017,373.763,347.790009,347.964996,370.666992,1220029952
Ethereum,ETH,30/08/2017,388.747986,361.971008,369.472992,378.484985,1333319936
Ethereum,ETH,31/08/2017,386.139008,376.354004,378.44101,383.041992,706254016
Ethereum,ETH,01/09/2017,390.044006,383.46701,383.46701,387.740997,874222016
Ethereum,ETH,02/09/2017,389.352997,328.095001,387.824005,348.984009,1483600000
Ethereum,ETH,03/09/2017,366.487,332.231995,350.229004,347.484009,986265984
Ethereum,ETH,04/09/2017,347.132996,279.938995,347.132996,295.17099,1801689984
Ethereum,ETH,05/09/2017,318.571991,268.285004,297.566986,312.988007,1551049984
Ethereum,ETH,06/09/2017,334.65799,313.48999,313.802002,334.338013,1058830016
Ethereum,ETH,07/09/2017,333.519012,319.938995,333.519012,329.428009,718624000
Ethereum,ETH,08/09/2017,329.635986,285.157013,329.635986,296.497009,1098780032
Ethereum,ETH,09/09/2017,299.890991,287.220001,296.169006,294.404999,528620992
Ethereum,ETH,10/09/2017,294.764008,268.972992,294.063995,288.747009,698326016
Ethereum,ETH,11/09/2017,300.687988,286.684998,289.744995,294.532013,571307008
Ethereum,ETH,12/09/2017,311.195007,287.227997,294.630005,291.463989,753144000
Ethereum,ETH,13/09/2017,291.122009,260.609985,291.122009,277.112,921692032
Ethereum,ETH,14/09/2017,280.839996,213.908005,276.587006,213.908005,1184589952
Ethereum,ETH,15/09/2017,258.654999,195.035004,215.220993,250.464005,1935699968
Ethereum,ETH,16/09/2017,262.592987,238.223007,250.865997,246.522003,711737024
Ethereum,ETH,17/09/2017,256.996002,235.240005,245.848999,251.748993,427452000
Ethereum,ETH,18/09/2017,293.497009,252.227005,252.227005,293.497009,1127750016
Ethereum,ETH,19/09/2017,295.768005,274.484009,293.656006,282.803986,646908992
Ethereum,ETH,20/09/2017,290.885986,278.049011,282.015015,283.742004,421404000
Ethereum,ETH,21/09/2017,286.609985,255.016006,283.263,258.579987,601265984
Ethereum,ETH,22/09/2017,270.540009,256.217987,258.114014,264.309998,430080992
Ethereum,ETH,23/09/2017,286.167999,261.119995,264.598999,286.167999,450934016
Ethereum,ETH,24/09/2017,292.947998,278.131989,286.213989,282.483002,571411008
Ethereum,ETH,25/09/2017,293.515015,281.876007,282.217987,292.332001,483160992
Ethereum,ETH,26/09/2017,293.75,287.019989,292.346008,287.437988,345800992
Ethereum,ETH,27/09/2017,308.015015,286.820007,287.019989,306.46701,550243968
Ethereum,ETH,28/09/2017,307.197998,295.470001,306.471008,299.154999,501894016
Ethereum,ETH,29/09/2017,299.924011,279.77301,299.119995,291.46701,541374976
Ethereum,ETH,30/09/2017,303.963989,291.112,291.47699,301.464996,332439008
Ethereum,ETH,01/10/2017,303.192993,295.061005,301.546997,302.337006,306184992
Ethereum,ETH,02/10/2017,302.920013,294.582001,302.481995,297.475006,339443008
Ethereum,ETH,03/10/2017,300.110992,288.132996,297.483002,292.463013,321680000
Ethereum,ETH,04/10/2017,299.394012,290.894989,292.753998,292.65799,257906000
Ethereum,ETH,05/10/2017,298.040985,288.839996,292.77301,295.863007,253747008
Ethereum,ETH,06/10/2017,308.839996,294.947998,295.154999,308.588013,318664000
Ethereum,ETH,07/10/2017,313.130005,304.975006,308.891998,311.123993,342204992
Ethereum,ETH,08/10/2017,312.541992,308.028015,311.05899,308.608002,293167008
Ethereum,ETH,09/10/2017,309.312988,288.184998,308.666992,297.391998,559467008
Ethereum,ETH,10/10/2017,306.153992,293.173004,297.601013,299.869995,359705984
Ethereum,ETH,11/10/2017,304.390015,299.096008,301.181,303.455994,264146000
Ethereum,ETH,12/10/2017,309.151001,303.290009,303.497986,304.135986,527556992
Ethereum,ETH,13/10/2017,348.596008,299.657013,304.07901,338.756989,1304359936
Ethereum,ETH,14/10/2017,347.975006,334.697998,338.85199,339.627991,516561984
Ethereum,ETH,15/10/2017,342.71701,320.427002,339.528992,336.595001,635406976
Ethereum,ETH,16/10/2017,349.345001,332.041992,336.710999,333.384003,692884992
Ethereum,ETH,17/10/2017,333.484009,311.786987,333.484009,317.082001,509924000
Ethereum,ETH,18/10/2017,317.235992,290.635986,316.944,314.319,606113984
Ethereum,ETH,19/10/2017,316.713989,305.828003,314.537994,308.088013,349830016
Ethereum,ETH,20/10/2017,311.437988,303.493988,308.04599,304.006012,396672992
Ethereum,ETH,21/10/2017,303.929993,291.768005,303.571991,300.187012,408014016
